chr_rna_RCH	start_rna_RCH	end_rna_RCH	gene_name__RCH	score	str_RCH	gene_type_RCH	gene_name_not_uniq_RCH	from_RCH	id_RCH	chr_rna	start_rna	end_rna	gene_name	lala	str	gene_id	overlap	merge_len	overlap/merge_len	len_RCH	len
chr4	1151372	1153701	AC092535.2	100	+	lncRNA	AC092535.2	gencode	158092	chr4	1151371	1153701	AC092535.1	100	+	ENSG00000227189.2	2329	2330	0.9995708154506437	2330	2331
chr4	1249300	1288291	CTBP1-DT	100	+	lncRNA	CTBP1-DT	gencode	158118	chr4	1249299	1288291	CTBP1-DT	100	+	ENSG00000196810.5	38991	38992	0.9999743537135822	38992	38993
chr4	1356581	1358075	AC078852.2	100	+	lncRNA	AC078852.2	gencode	158140	chr4	1356580	1358075	AC078852.2	100	+	ENSG00000254094.1	1494	1495	0.9993311036789297	1495	1496
chr4	2934882	2961738	NOP14-AS1	100	+	lncRNA	NOP14-AS1	gencode	158457	chr4	2934881	2961738	NOP14-AS1	100	+	ENSG00000249673.7	26856	26857	0.9999627657593924	26857	26858
chr4	3758748	3763390	LINC02600	100	-	lncRNA	LINC02600	gencode	158599	chr4	3758747	3763390	LINC02600	100	-	ENSG00000250986.1	4642	4643	0.9997846220116304	4643	4644
chr4	4476121	4481700	STX18-IT1	100	-	lncRNA	STX18-IT1	gencode	158694	chr4	4476120	4481700	STX18-IT1	100	-	ENSG00000248221.1	5579	5580	0.999820788530466	5580	5581
chr4	4542131	4787359	STX18-AS1	100	+	lncRNA	STX18-AS1	gencode	158696	chr4	4542130	4787359	STX18-AS1	100	+	ENSG00000247708.8	245228	245229	0.9999959221788614	245229	245230
chr4	4820405	4821452	AC092437.1	100	+	TEC	AC092437.1	gencode	158722	chr4	4820404	4821452	AC092437.1	100	+	ENSG00000280310.1	1047	1048	0.9990458015267175	1048	1049
chr4	6202328	6206649	AC113615.1	100	+	lncRNA	AC113615.1	gencode	158879	chr4	6202327	6206649	AC113615.1	100	+	ENSG00000251408.1	4321	4322	0.9997686256362796	4322	4323
chr4	6648695	6673965	LINC02482	100	-	lncRNA	LINC02482	gencode	158941	chr4	6648694	6673965	LINC02482	100	-	ENSG00000251580.3	25270	25271	0.99996042895018	25271	25272
chr4	6687448	6690519	LINC02481	100	-	lncRNA	LINC02481	gencode	158952	chr4	6687447	6690519	LINC002481	100	-	ENSG00000246526.2	3071	3072	0.9996744791666666	3072	3073
chr4	6691995	6692970	AC093323.2	100	-	TEC	AC093323.2	gencode	158954	chr4	6691994	6692970	AC093323.2	100	-	ENSG00000279859.2	975	976	0.9989754098360656	976	977
chr4	7030554	7046231	AC097382.2	100	-	lncRNA	AC097382.2	gencode	159004	chr4	7030553	7046231	AC097382.2	100	-	ENSG00000245748.1	15677	15678	0.9999362163541268	15678	15679
chr4	7093776	7103394	LINC02447	100	-	lncRNA	LINC02447	gencode	159022	chr4	7093775	7103394	LINC02447	100	-	ENSG00000245468.4	9618	9619	0.9998960390893025	9619	9620
chr4	7754077	7778928	AFAP1-AS1	100	+	lncRNA	AFAP1-AS1	gencode	159133	chr4	7754089	7778928	AFAP1-AS1	100	+	ENSG00000272620.1	24839	24851	0.9995171220474025	24852	24840
chr4	8355090	8358338	AC104825.1	100	-	lncRNA	AC104825.1	gencode	159257	chr4	8355089	8358338	AC104825.1	100	-	ENSG00000251615.3	3248	3249	0.9996922129886119	3249	3250
chr4	8482270	8516759	AC105345.1	100	+	lncRNA	AC105345.1	gencode	159280	chr4	8482269	8516759	AC105345.1	100	+	ENSG00000205959.4	34489	34490	0.9999710060887214	34490	34491
chr4	10068089	10073019	AC005674.2	100	-	lncRNA	AC005674.2	gencode	159530	chr4	10068088	10073019	AC005674.2	100	-	ENSG00000261490.1	4930	4931	0.9997972013790306	4931	4932
chr4	11469250	11478196	AC025539.1	100	+	lncRNA	AC025539.1	gencode	159695	chr4	11469249	11478196	AC025539.1	100	+	ENSG00000251152.1	8946	8947	0.9998882306918521	8947	8948
chr4	12859101	12864961	AC007370.2	100	-	lncRNA	AC007370.2	gencode	159800	chr4	12859100	12864961	AC007370.2	100	-	ENSG00000250371.1	5860	5861	0.999829380651766	5861	5862
chr4	14470465	14888169	LINC00504	100	-	lncRNA	LINC00504	gencode	159944	chr4	14470464	14888169	LINC00504	100	-	ENSG00000248360.7	417704	417705	0.9999976059659329	417705	417706
chr4	14909961	15002045	CPEB2-DT	100	-	lncRNA	CPEB2-DT	gencode	159952	chr4	14909960	15002045	CPEB2-DT	100	-	ENSG00000247624.6	92084	92085	0.9999891404680459	92085	92086
chr4	15358141	15420032	AC099550.1	100	-	lncRNA	AC099550.1	gencode	159971	chr4	15358140	15420032	AC099550.1	100	-	ENSG00000251379.1	61891	61892	0.9999838428229819	61892	61893
chr4	15563698	15564253	AC116651.1	100	-	lncRNA	AC116651.1	gencode	159995	chr4	15563697	15564253	AC116651.1	100	-	ENSG00000273133.1	555	556	0.9982014388489209	556	557
chr4	16226685	16320140	TAPT1-AS1	100	+	lncRNA	TAPT1-AS1	gencode	160069	chr4	16226684	16320140	TAPT1-AS1	100	+	ENSG00000263327.6	93455	93456	0.9999892997774353	93456	93457
chr4	17586267	17614585	AC006160.1	100	-	lncRNA	AC006160.1	gencode	160141	chr4	17586266	17614585	AC006160.1	100	-	ENSG00000249502.3	28318	28319	0.9999646880186447	28319	28320
chr4	20392154	20394856	SLIT2-IT1	100	+	lncRNA	SLIT2-IT1	gencode	160233	chr4	20392153	20394856	SLIT2-IT1	100	+	ENSG00000248228.2	2702	2703	0.9996300406955235	2703	2704
chr4	20766808	20767372	AC097505.1	100	+	lncRNA	AC097505.1	gencode	160247	chr4	20766807	20767372	AC097505.1	100	+	ENSG00000272995.1	564	565	0.9982300884955753	565	566
chr4	21843341	21853188	KCNIP4-IT1	100	-	lncRNA	KCNIP4-IT1	gencode	160270	chr4	21843340	21853188	KCNIP4-IT1	100	-	ENSG00000280650.1	9847	9848	0.9998984565393989	9848	9849
chr4	25160641	25201440	SEPSECS-AS1	100	+	lncRNA	SEPSECS-AS1	gencode	160410	chr4	25160640	25201440	SEPSECS-AS1	100	+	ENSG00000281501.1	40799	40800	0.9999754901960785	40800	40801
chr4	26859806	26860632	STIM2-AS1	100	-	lncRNA	STIM2-AS1	gencode	160540	chr4	26859805	26860632	STIM2-AS1	100	-	ENSG00000240005.6	826	827	0.9987908101571947	827	828
chr4	31997376	32228543	LINC02506	100	+	lncRNA	LINC02506	gencode	160681	chr4	31997375	32228543	LINC02506	100	+	ENSG00000251129.2	231167	231168	0.9999956741417497	231168	231169
chr4	38602438	38664914	KLF3-AS1	100	-	lncRNA	KLF3-AS1	gencode	160904	chr4	38602437	38664914	KLF3-AS1	100	-	ENSG00000231160.10	62476	62477	0.9999839941098324	62477	62478
chr4	39133913	39135608	AC079921.2	100	+	lncRNA	AC079921.2	gencode	160945	chr4	39133912	39135608	AC079921.2	100	+	ENSG00000249685.1	1695	1696	0.9994103773584906	1696	1697
chr4	39528019	39594707	UGDH-AS1	100	+	lncRNA	UGDH-AS1	gencode	160983	chr4	39528018	39594707	UGDH-AS1	100	+	ENSG00000249348.1	66688	66689	0.9999850050233172	66689	66690
chr4	39639107	39666879	AC108471.2	100	+	lncRNA	AC108471.2	gencode	160991	chr4	39639106	39666879	AC108471.2	100	+	ENSG00000255458.7	27772	27773	0.9999639938069348	27773	27774
chr4	40166675	40167831	AC095057.3	100	+	lncRNA	AC095057.3	gencode	161036	chr4	40166674	40167831	AC095057.3	100	+	ENSG00000260296.1	1156	1157	0.9991356957649092	1157	1158
chr4	40316485	40330419	LINC02265	100	+	lncRNA	LINC02265	gencode	161053	chr4	40316484	40330419	LINC02265	100	+	ENSG00000249241.1	13934	13935	0.9999282382490132	13935	13936
chr4	44704405	44704965	AC096586.1	100	+	lncRNA	AC096586.1	gencode	161275	chr4	44704404	44704965	AC096586.1	100	+	ENSG00000272936.1	560	561	0.9982174688057041	561	562
chr4	47431960	47438959	AC107398.3	100	+	lncRNA	AC107398.3	gencode	161327	chr4	47431959	47438959	AC107398.3	100	+	ENSG00000260918.1	6999	7000	0.9998571428571429	7000	7001
chr4	47840122	47844339	AC107068.1	100	-	lncRNA	AC107068.1	gencode	161351	chr4	47840121	47844339	AC107068.1	100	-	ENSG00000259959.1	4217	4218	0.9997629208155524	4218	4219
chr4	52659406	52661668	USP46-DT	100	+	lncRNA	USP46-DT	gencode	161532	chr4	52659405	52661668	USP46-AS1	100	+	ENSG00000248866.1	2262	2263	0.9995581087052585	2263	2264
chr4	52945649	52958087	AC023154.1	100	+	lncRNA	AC023154.1	gencode	161566	chr4	52945648	52958087	AC023154.1	100	+	ENSG00000248115.1	12438	12439	0.9999196076855053	12439	12440
chr4	55363971	55395847	SRD5A3-AS1	100	-	lncRNA	SRD5A3-AS1	gencode	161705	chr4	55363970	55395847	SRD5A3-AS1	100	-	ENSG00000249700.9	31876	31877	0.9999686294193305	31877	31878
chr4	56387625	56388153	AC068620.1	100	+	lncRNA	AC068620.1	gencode	161780	chr4	56387624	56388153	AC068620.1	100	+	ENSG00000269921.1	528	529	0.998109640831758	529	530
chr4	56662469	56665694	AC108215.1	100	-	TEC	AC108215.1	gencode	161810	chr4	56662468	56665694	AC108215.1	100	-	ENSG00000280285.1	3225	3226	0.9996900185988841	3226	3227
chr4	64914281	65024485	LINC02232	100	-	lncRNA	LINC02232	gencode	162038	chr4	64914280	65024485	LINC02232	100	-	ENSG00000250125.4	110204	110205	0.9999909260015426	110205	110206
chr4	67417305	67468251	AC104806.2	100	-	lncRNA	AC104806.2	gencode	162103	chr4	67417304	67468251	AC104806.2	100	-	ENSG00000250075.7	50946	50947	0.9999803717588867	50947	50948
chr4	67607856	67610313	AC096720.2	100	-	TEC	AC096720.2	gencode	162116	chr4	67607855	67610313	AC096720.2	100	-	ENSG00000279464.1	2457	2458	0.999593165174939	2458	2459
chr4	67701209	68080952	UBA6-AS1	100	+	lncRNA	UBA6-AS1	gencode	162121	chr4	67701208	68080952	UBA6-AS1	100	+	ENSG00000248049.7	379743	379744	0.9999973666470043	379744	379745
chr4	70703747	70704491	AC009570.1	100	-	lncRNA	AC009570.1	gencode	162290	chr4	70703746	70704491	AC009570.1	100	-	ENSG00000272986.1	744	745	0.9986577181208054	745	746
chr4	74156511	74158373	AC093677.2	100	-	lncRNA	AC093677.2	gencode	162456	chr4	74156510	74158373	AC093677.2	100	-	ENSG00000269559.2	1862	1863	0.9994632313472893	1863	1864
chr4	75081702	75084717	LINC02562	100	-	lncRNA	LINC02562	gencode	162507	chr4	75081701	75084717	LINC02562	100	-	ENSG00000260265.1	3015	3016	0.9996684350132626	3016	3017
chr4	78638780	78683185	LINC01094	100	+	lncRNA	LINC01094	gencode	162738	chr4	78638779	78683185	LINC01094	100	+	ENSG00000251442.6	44405	44406	0.9999774805206504	44406	44407
chr4	78773654	78775973	AC098818.2	100	-	lncRNA	AC098818.2	gencode	162754	chr4	78773653	78775973	AC098818.2	100	-	ENSG00000260278.1	2319	2320	0.9995689655172414	2320	2321
chr4	78939485	79309673	LINC01088	100	+	lncRNA	LINC01088	gencode	162764	chr4	78939484	79309673	LINC01088	100	+	ENSG00000249307.7	370188	370189	0.9999972986771622	370189	370190
chr4	79491802	79623479	LINC00989	100	+	lncRNA	LINC00989	gencode	162773	chr4	79491801	79623479	LINC00989	100	+	ENSG00000250334.6	131677	131678	0.9999924057169762	131678	131679
chr4	82344876	82346842	AC124016.2	100	-	lncRNA	AC124016.2	gencode	162874	chr4	82344875	82346842	AC124016.2	100	-	ENSG00000273156.2	1966	1967	0.9994916115912558	1967	1968
chr4	82374301	82384027	AC124016.1	100	+	lncRNA	AC124016.1	gencode	162878	chr4	82374300	82384027	AC124016.1	100	+	ENSG00000272677.1	9726	9727	0.9998971933792536	9727	9728
chr4	82893009	82900960	THAP9-AS1	100	-	lncRNA	THAP9-AS1	gencode	162942	chr4	82893008	82900960	THAP9-AS1	100	-	ENSG00000251022.6	7951	7952	0.999874245472837	7952	7953
chr4	83796436	84299189	AC079160.1	100	-	lncRNA	AC079160.1	gencode	163007	chr4	83796435	84299189	AC079160.1	100	-	ENSG00000250546.6	502753	502754	0.9999980109556562	502754	502755
chr4	84965534	85011277	WDFY3-AS2	100	+	lncRNA	WDFY3-AS2	gencode	163050	chr4	84965533	85011277	WDFY3-AS2	100	+	ENSG00000180769.10	45743	45744	0.9999781392095138	45744	45745
chr4	88709298	88730103	FAM13A-AS1	100	+	lncRNA	FAM13A-AS1	gencode	163247	chr4	88709297	88730103	FAM13A-AS1	100	+	ENSG00000248019.3	20805	20806	0.9999519369412669	20806	20807
chr4	89410960	89726752	AC093866.1	100	+	lncRNA	AC093866.1	gencode	163281	chr4	89410959	89726752	AC093866.1	100	+	ENSG00000251095.7	315792	315793	0.999996833368694	315793	315794
chr4	91603275	91605292	AC110774.1	100	+	TEC	AC110774.1	gencode	163333	chr4	91603274	91605292	AC110774.1	100	+	ENSG00000279013.1	2017	2018	0.9995044598612488	2018	2019
chr4	95549129	95552457	AC106881.1	100	+	lncRNA	AC106881.1	gencode	163437	chr4	95549128	95552457	AC106881.1	100	+	ENSG00000271474.1	3328	3329	0.99969960949234	3329	3330
chr4	98658904	98664550	AC114811.2	100	+	lncRNA	AC114811.2	gencode	163533	chr4	98658903	98664550	AC114811.2	100	+	ENSG00000260641.1	5646	5647	0.9998229148220295	5647	5648
chr4	99067256	99068125	AC019131.2	100	-	lncRNA	AC019131.2	gencode	163570	chr4	99067255	99068125	AC019131.2	100	-	ENSG00000272777.1	869	870	0.9988505747126437	870	871
chr4	99088805	99301356	AP002026.1	100	+	lncRNA	AP002026.1	gencode	163574	chr4	99088804	99301356	AP002026.1	100	+	ENSG00000246090.7	212551	212552	0.9999952952689224	212552	212553
chr4	99844138	99844696	AP001962.1	100	+	TEC	AP001962.1	gencode	163615	chr4	99844137	99844696	AP001962.1	100	+	ENSG00000279913.1	558	559	0.998211091234347	559	560
chr4	101347780	101348883	FLJ20021	100	+	lncRNA	FLJ20021	gencode	163684	chr4	101347779	101348883	AP001816.1	100	+	ENSG00000254531.1	1103	1104	0.9990942028985508	1104	1105
chr4	105137280	105140619	AC004069.1	100	-	lncRNA	AC004069.1	gencode	163814	chr4	105137279	105140619	AC004069.1	100	-	ENSG00000251259.1	3339	3340	0.9997005988023953	3340	3341
chr4	107936031	107941255	AC096564.1	100	-	lncRNA	AC096564.1	gencode	163920	chr4	107936030	107941255	AC096564.2	100	-	ENSG00000249604.1	5224	5225	0.9998086124401914	5225	5226
chr4	108167525	108258037	LEF1-AS1	100	+	lncRNA	LEF1-AS1	gencode	163927	chr4	108167524	108258037	LEF1-AS1	100	+	ENSG00000232021.7	90512	90513	0.9999889518632683	90513	90514
chr4	108538190	108620460	RPL34-DT	100	-	lncRNA	RPL34-DT	gencode	163947	chr4	108538189	108620460	RPL34-AS1	100	-	ENSG00000234492.4	82270	82271	0.9999878450486805	82271	82272
chr4	109347475	109433817	SEC24B-AS1	100	-	lncRNA	SEC24B-AS1	gencode	163992	chr4	109347474	109433817	SEC24B-AS1	100	-	ENSG00000247950.7	86342	86343	0.9999884182852113	86343	86344
chr4	109815047	109815410	AC126283.1	100	-	lncRNA	AC126283.1	gencode	164024	chr4	109815046	109815410	AC126283.1	100	-	ENSG00000272795.1	363	364	0.9972527472527473	364	365
chr4	112229561	112231596	AC109347.1	100	-	lncRNA	AC109347.1	gencode	164136	chr4	112229560	112231596	AC109347.1	100	-	ENSG00000260526.1	2035	2036	0.99950884086444	2036	2037
chr4	112693047	112706810	AC106864.1	100	-	lncRNA	AC106864.1	gencode	164184	chr4	112693046	112706810	AC106864.1	100	-	ENSG00000250046.3	13763	13764	0.9999273467015403	13764	13765
chr4	118278709	118285316	SNHG8	100	+	lncRNA	SNHG8	gencode	164443	chr4	118278708	118285316	SNHG8	100	+	ENSG00000269893.8	6607	6608	0.9998486682808717	6608	6609
chr4	119409333	119410233	AC093752.3	100	+	lncRNA	AC093752.3	gencode	164509	chr4	119409332	119410233	AC093752.3	100	+	ENSG00000260091.1	900	901	0.9988901220865705	901	902
chr4	119456350	119457277	AC093752.2	100	+	lncRNA	AC093752.2	gencode	164513	chr4	119456349	119457277	AC093752.2	100	+	ENSG00000250950.1	927	928	0.9989224137931034	928	929
chr4	120066958	120564789	AC073475.1	100	+	lncRNA	AC073475.1	gencode	164540	chr4	120066957	120564789	AC073475.1	100	+	ENSG00000250938.6	497831	497832	0.9999979912902345	497832	497833
chr4	121764585	121766814	PP12613	100	+	lncRNA	PP12613	gencode	164623	chr4	121764584	121766814	AC079341.1	100	+	ENSG00000226757.2	2229	2230	0.9995515695067264	2230	2231
chr4	123539026	123962698	LINC01091	100	+	lncRNA	LINC01091	gencode	164721	chr4	123539025	123962698	LINC01091	100	+	ENSG00000249464.6	423672	423673	0.9999976396890998	423673	423674
chr4	124499940	124558445	LINC02516	100	-	lncRNA	LINC02516	gencode	164758	chr4	124499939	124558445	LINC02516	100	-	ENSG00000261083.3	58505	58506	0.9999829077359587	58506	58507
chr4	128567972	128570531	AC078850.1	100	-	lncRNA	AC078850.1	gencode	164965	chr4	128567971	128570531	AC078850.1	100	-	ENSG00000248187.1	2559	2560	0.999609375	2560	2561
chr4	131930031	131975952	AC096711.2	100	-	lncRNA	AC096711.2	gencode	165081	chr4	131930030	131975952	AC096711.2	100	-	ENSG00000251555.1	45921	45922	0.9999782239449502	45922	45923
chr4	133075311	133149147	AC105383.1	100	-	lncRNA	AC105383.1	gencode	165115	chr4	133075310	133149147	AC105383.1	100	-	ENSG00000250241.6	73836	73837	0.9999864566545228	73837	73838
chr4	136795919	137212799	LINC02511	100	-	lncRNA	LINC02511	gencode	165253	chr4	136795918	137212799	LINC02511	100	-	ENSG00000248869.7	416880	416881	0.9999976012339252	416881	416882
chr4	138057464	138178177	SLC7A11-AS1	100	+	lncRNA	SLC7A11-AS1	gencode	165296	chr4	138057463	138178177	SLC7A11-AS1	100	+	ENSG00000250033.5	120713	120714	0.9999917159567242	120714	120715
chr4	139411927	139454034	AC097376.3	100	-	lncRNA	AC097376.3	gencode	165387	chr4	139411926	139454034	AC097376.2	100	-	ENSG00000273247.5	42107	42108	0.9999762515436497	42108	42109
chr4	140283724	140373403	SCOC-AS1	100	-	lncRNA	SCOC-AS1	gencode	165453	chr4	140283723	140373403	SCOC-AS1	100	-	ENSG00000196951.11	89679	89680	0.9999888492417485	89680	89681
chr4	140756528	140757921	AC096733.2	100	+	lncRNA	AC096733.2	gencode	165482	chr4	140756527	140757921	AC096733.2	100	+	ENSG00000273472.1	1393	1394	0.9992826398852224	1394	1395
chr4	142933195	143184861	AC104596.1	100	-	lncRNA	AC104596.1	gencode	165581	chr4	142933194	143184861	AC104596.1	100	-	ENSG00000250326.2	251666	251667	0.9999960264953291	251667	251668
chr4	143513472	143514635	SMARCA5-AS1	100	-	lncRNA	SMARCA5-AS1	gencode	165608	chr4	143513471	143514635	SMARCA5-AS1	100	-	ENSG00000245112.2	1163	1164	0.9991408934707904	1164	1165
chr4	144642922	144661357	HHIP-AS1	100	-	lncRNA	HHIP-AS1	gencode	165650	chr4	144642921	144661357	HHIP-AS1	100	-	ENSG00000248890.2	18435	18436	0.9999457582989802	18436	18437
chr4	145830456	145832980	AC104791.2	100	-	TEC	AC104791.2	gencode	165719	chr4	145830455	145832980	AC104791.2	100	-	ENSG00000279481.1	2524	2525	0.9996039603960396	2525	2526
chr4	146180851	146181316	AC097372.2	100	+	TEC	AC097372.2	gencode	165742	chr4	146180850	146181316	AC097372.2	100	+	ENSG00000279845.1	465	466	0.9978540772532188	466	467
chr4	147487971	147496062	AC093908.1	100	+	TEC	AC093908.1	gencode	165802	chr4	147487970	147496062	AC093908.1	100	+	ENSG00000280219.1	8091	8092	0.999876421156698	8092	8093
chr4	151139991	151141103	AC095055.1	100	+	lncRNA	AC095055.1	gencode	165981	chr4	151139990	151141103	AC095055.1	100	+	ENSG00000270681.1	1112	1113	0.9991015274034142	1113	1114
chr4	151674483	151677893	AC092611.1	100	+	lncRNA	AC092611.1	gencode	166011	chr4	151674482	151677893	AC092611.1	100	+	ENSG00000251455.1	3410	3411	0.9997068308413954	3411	3412
chr4	152090459	152104720	LINC02273	100	+	lncRNA	LINC02273	gencode	166044	chr4	152090458	152104720	LINC02273	100	+	ENSG00000245954.8	14261	14262	0.9999298836067873	14262	14263
chr4	152317902	152318364	AC080078.2	100	-	lncRNA	AC080078.2	gencode	166069	chr4	152317901	152318364	AC080078.2	100	-	ENSG00000270883.1	462	463	0.9978401727861771	463	464
chr4	152536264	152539263	MIR4453HG	100	+	lncRNA	MIR4453HG	gencode	166080	chr4	152536263	152539263	MIR4453HG	100	+	ENSG00000268471.6	2999	3000	0.9996666666666667	3000	3001
chr4	152666368	152670107	AC106882.1	100	+	lncRNA	AC106882.1	gencode	166096	chr4	152666367	152670107	AC106882.1	100	+	ENSG00000248571.1	3739	3740	0.9997326203208556	3740	3741
chr4	154235980	154237598	AC079298.1	100	+	lncRNA	AC079298.1	gencode	166188	chr4	154235979	154237598	AC079298.1	100	+	ENSG00000278981.1	1618	1619	0.9993823347745522	1619	1620
chr4	155734448	155737062	AC104083.1	100	+	lncRNA	AC104083.1	gencode	166279	chr4	155734447	155737062	AC104083.1	100	+	ENSG00000260244.1	2614	2615	0.9996175908221797	2615	2616
chr4	158111361	158111931	AC098679.3	100	-	TEC	AC098679.3	gencode	166391	chr4	158111360	158111931	AC098679.4	100	-	ENSG00000280140.1	570	571	0.9982486865148862	571	572
chr4	158170752	158202877	FAM198B-AS1	100	+	lncRNA	FAM198B-AS1	gencode	166398	chr4	158170751	158202877	FAM198B-AS1	100	+	ENSG00000248429.5	32125	32126	0.9999688725642781	32126	32127
chr4	168843988	168844735	AC080188.2	100	+	TEC	AC080188.2	gencode	166801	chr4	168843987	168844735	AC080188.2	100	+	ENSG00000279384.1	747	748	0.9986631016042781	748	749
chr4	173322206	173329694	AC097534.1	100	-	lncRNA	AC097534.1	gencode	166962	chr4	173322205	173329694	AC097534.1	100	-	ENSG00000248774.1	7488	7489	0.999866470823875	7489	7490
chr4	173349543	173370721	SAP30-DT	100	-	lncRNA	SAP30-DT	gencode	166967	chr4	173349542	173370721	AC097534.2	100	-	ENSG00000272870.3	21178	21179	0.9999527834175362	21179	21180
chr4	173467833	173470041	AC093849.1	100	-	lncRNA	AC093849.1	gencode	166997	chr4	173467832	173470041	AC093849.1	100	-	ENSG00000261646.1	2208	2209	0.9995473064735174	2209	2210
chr4	173527270	173659696	HAND2-AS1	100	+	lncRNA	HAND2-AS1	gencode	167007	chr4	173527269	173659696	HAND2-AS1	100	+	ENSG00000237125.10	132426	132427	0.9999924486698332	132427	132428
chr4	174135055	174154637	AC012055.1	100	-	lncRNA	AC012055.1	gencode	167028	chr4	174135054	174154637	AC012055.1	100	-	ENSG00000250957.1	19582	19583	0.9999489353010264	19583	19584
chr4	177442519	177681381	AC078881.1	100	+	lncRNA	AC078881.1	gencode	167138	chr4	177442518	177681381	AC078881.1	100	+	ENSG00000250131.2	238862	238863	0.9999958134997886	238863	238864
chr4	181874438	182145249	TENM3-AS1	100	-	lncRNA	TENM3-AS1	gencode	167226	chr4	181874437	182145249	TENM3-AS1	100	-	ENSG00000177822.8	270811	270812	0.9999963074014445	270812	270813
chr4	183494884	183504494	AC107214.1	100	-	lncRNA	AC107214.1	gencode	167318	chr4	183494883	183504494	AC107214.1	100	-	ENSG00000232648.4	9610	9611	0.9998959525543648	9611	9612
chr4	183516894	183517527	AC107214.2	100	+	lncRNA	AC107214.2	gencode	167321	chr4	183516893	183517527	AC107214.2	100	+	ENSG00000272744.1	633	634	0.998422712933754	634	635
chr4	183987669	183996680	AC074194.1	100	+	lncRNA	AC074194.1	gencode	167356	chr4	183987668	183996680	AC074194.1	100	+	ENSG00000248206.2	9011	9012	0.9998890368397692	9012	9013
chr4	184334292	184353977	LINC02363	100	-	lncRNA	LINC02363	gencode	167377	chr4	184334291	184353977	LINC02363	100	-	ENSG00000180712.4	19685	19686	0.999949202478919	19686	19687
chr4	184365180	184382416	LINC02362	100	-	lncRNA	LINC02362	gencode	167380	chr4	184365179	184382416	LINC02362	100	-	ENSG00000249096.7	17236	17237	0.9999419852642571	17237	17238
chr4	184471924	184472609	AC099343.2	100	-	lncRNA	AC099343.2	gencode	167387	chr4	184471923	184472609	AC099343.2	100	-	ENSG00000270426.1	685	686	0.9985422740524781	686	687
chr4	184474802	184477304	AC099343.3	100	+	lncRNA	AC099343.3	gencode	167389	chr4	184474801	184477304	AC099343.3	100	+	ENSG00000271646.1	2502	2503	0.9996004794246903	2503	2504
chr4	184503271	184537626	LINC02427	100	-	lncRNA	LINC02427	gencode	167393	chr4	184503270	184537626	LINC02427	100	-	ENSG00000271538.6	34355	34356	0.9999708930026778	34356	34357
chr4	184584093	184625030	LINC02365	100	-	lncRNA	LINC02365	gencode	167399	chr4	184584092	184625030	LINC02365	100	-	ENSG00000254233.1	40937	40938	0.9999755728174312	40938	40939
chr4	184844554	184855751	MIR3945HG	100	-	lncRNA	MIR3945HG	gencode	167414	chr4	184844553	184855751	MIR3945HG	100	-	ENSG00000251230.6	11197	11198	0.9999106983389892	11198	11199
chr4	186189032	186191490	FLJ38576	100	-	TEC	FLJ38576	gencode	167503	chr4	186189031	186191490	AC110771.1	100	-	ENSG00000279943.1	2458	2459	0.9995933306222041	2459	2460
chr4	187304083	187309682	AC097652.1	100	-	lncRNA	AC097652.1	gencode	167572	chr4	187304082	187309682	AC097652.1	100	-	ENSG00000250658.1	5599	5600	0.9998214285714285	5600	5601
chr4	188400736	188681051	LINC01060	100	+	lncRNA	LINC01060	gencode	167616	chr4	188400735	188681051	LINC01060	100	+	ENSG00000249378.6	280315	280316	0.9999964325974972	280316	280317
chr5	213898	217279	AC021087.3	100	-	lncRNA	AC021087.3	gencode	167759	chr5	213897	217279	AC021087.3	100	-	ENSG00000260774.1	3381	3382	0.9997043169722057	3382	3383
chr5	441498	443160	EXOC3-AS1	100	-	lncRNA	EXOC3-AS1	gencode	167807	chr5	441497	443160	EXOC3-AS1	100	-	ENSG00000221990.4	1662	1663	0.9993986770895971	1663	1664
chr5	466124	473098	PP7080	100	-	lncRNA	PP7080	gencode	167811	chr5	466123	473098	AC010442.1	100	-	ENSG00000188242.4	6974	6975	0.9998566308243727	6975	6976
chr5	473236	480884	SLC9A3-AS1	100	+	lncRNA	SLC9A3-AS1	gencode	167814	chr5	473235	480884	SLC9A3-AS1	100	+	ENSG00000225138.8	7648	7649	0.9998692639560727	7649	7650
chr5	675826	676616	AC026740.1	100	+	lncRNA	AC026740.1	gencode	167868	chr5	675825	676616	AC026740.1	100	+	ENSG00000271781.1	790	791	0.9987357774968394	791	792
chr5	987180	997308	AC116351.1	100	-	lncRNA	AC116351.1	gencode	167910	chr5	987179	997308	AC116351.1	100	-	ENSG00000215246.5	10128	10129	0.999901273570935	10129	10130
chr5	1005039	1006623	AC116351.2	100	+	lncRNA	AC116351.2	gencode	167912	chr5	1005038	1006623	AC116351.2	100	+	ENSG00000272347.1	1584	1585	0.9993690851735015	1585	1586
chr5	1173141	1178605	CTD-3080P12.3	100	-	lncRNA	CTD-3080P12.3	gencode	167953	chr5	1173140	1178605	AC114291.1	100	-	ENSG00000249201.2	5464	5465	0.9998170173833486	5465	5466
chr5	1931064	2119926	AC124852.1	100	+	lncRNA	AC124852.1	gencode	168113	chr5	1931063	2119926	AC124852.1	100	+	ENSG00000248994.2	188862	188863	0.9999947051566479	188863	188864
chr5	1968094	1969013	AC126768.2	100	+	lncRNA	AC126768.2	gencode	168115	chr5	1968093	1969013	AC126768.2	100	+	ENSG00000249731.1	919	920	0.9989130434782608	920	921
